transaccion_id,fecha,año,mes,dia,dia_semana,semana_año,cliente_id,nombre_cliente,tipo_cliente,segmento_cliente,ciudad,producto_id,nombre_producto,categoria_producto,subcategoria_producto,canal_venta,cantidad,precio_lista,descuento_porcentaje,precio_unitario,costo_unitario,costo_total,ingreso_total,utilidad_bruta,margen_porcentaje,vendedor_id,vendedor_nombre,metodo_pago,dias_entrega,devolucion,evento_id,campana
TRX-2024-00015,2024-01-04,2024,1,4,Thursday,1,CLI-FINAL-006,Laura Sánchez,B2C,Consumidor Final,Ciudad de Panamá,RCP-KIT-DEG,Kit Degustación Premium,Gift,Gift,Ecommerce,3,48.0,0.0,48.0,22.0,66.0,144.0,78.0,54.17,VEN-002,María Gonzáles,Tarjeta Crédito,2,False,,
TRX-2024-00016,2024-01-05,2024,1,5,Friday,1,CLI-CORP-004,ASSA Compañía de Seguros,B2B,Corporativo,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Corporativo,62,180.0,12.28,157.9,75.0,4650.0,9789.8,5139.8,52.5,VEN-002,María Gonzáles,Tarjeta Crédito,2,False,,
TRX-2024-00017,2024-01-05,2024,1,5,Friday,1,CLI-SUP-004,Super 99 David,B2B,Supermercado,David,RCP-SP-750,Ron Caña Spiced,Especialidad,Entry,Supermercados,119,22.0,5.0,20.9,9.0,1071.0,2487.1,1416.1,56.94,VEN-004,Ana Pérez,Crédito 30 días,1,False,,
TRX-2024-00018,2024-01-05,2024,1,5,Friday,1,CLI-CONV-003,7-Eleven Albrook,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-A5-750,Ron Caña Añejo 5 Años,Añejo,Core,Retail Moderno,6,32.0,0.0,32.0,14.0,84.0,192.0,108.0,56.25,VEN-002,María Gonzáles,Crédito 30 días,2,False,,
TRX-2024-00019,2024-01-05,2024,1,5,Friday,1,CLI-RG-001,Manolo Caracol,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-GIFT-A8,Gift Set Añejo 8 Años + 2 Copas,Gift,Gift,Ecommerce,14,65.0,0.0,65.0,28.0,392.0,910.0,518.0,56.92,VEN-001,Carlos Mendoza,Tarjeta Crédito,2,False,,
TRX-2024-00020,2024-01-05,2024,1,5,Friday,1,CLI-CORP-004,ASSA Compañía de Seguros,B2B,Corporativo,Ciudad de Panamá,RCP-RE-750,Ron Caña Reserva Especial,Añejo,Core,Corporativo,28,38.0,0.0,38.0,16.5,462.0,1064.0,602.0,56.58,VEN-002,María Gonzáles,Transferencia,2,False,,
TRX-2024-00021,2024-01-05,2024,1,5,Friday,1,CLI-RG-006,La Posta,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-KIT-DEG,Kit Degustación Premium,Gift,Gift,Ecommerce,18,48.0,0.0,48.0,22.0,396.0,864.0,468.0,54.17,VEN-002,María Gonzáles,Tarjeta Crédito,4,False,,
TRX-2024-00022,2024-01-05,2024,1,5,Friday,1,CLI-FINAL-003,Carlos Rodríguez,B2C,Consumidor Final,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Ecommerce,2,180.0,0.0,180.0,75.0,150.0,360.0,210.0,58.33,VEN-001,Carlos Mendoza,Tarjeta Crédito,2,False,,
TRX-2024-00023,2024-01-05,2024,1,5,Friday,1,CLI-RG-010,Azafrán,B2B,Restaurante Gourmet,David,RCP-A5-375,Ron Caña Añejo 5 Años,Añejo,Core,Ecommerce,15,18.0,0.0,18.0,8.0,120.0,270.0,150.0,55.56,VEN-004,Ana Pérez,Transferencia,2,False,,
TRX-2024-00024,2024-01-06,2024,1,6,Saturday,1,CLI-LIC-011,Vinos y Licores Chitré,B2B,Licorería Especializada,Chitré,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,40,42.0,0.0,42.0,18.0,720.0,1680.0,960.0,57.14,VEN-003,Roberto Chen,Transferencia,1,False,,
TRX-2024-00025,2024-01-06,2024,1,6,Saturday,1,CLI-H5-001,Hotel Bristol Panamá,B2B,Hotel 5 Estrellas,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Horeca Premium,34,180.0,0.0,180.0,75.0,2550.0,6120.0,3570.0,58.33,VEN-002,María Gonzáles,Crédito 30 días,5,False,,
TRX-2024-00026,2024-01-06,2024,1,6,Saturday,1,CLI-SUP-004,Super 99 David,B2B,Supermercado,David,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Supermercados,63,42.0,5.0,39.9,18.0,1134.0,2513.7,1379.7,54.89,VEN-004,Ana Pérez,Tarjeta Crédito,3,False,,
TRX-2024-00027,2024-01-06,2024,1,6,Saturday,1,CLI-CONV-002,Delta Costa del Este,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,18,18.0,0.0,18.0,7.5,135.0,324.0,189.0,58.33,VEN-002,María Gonzáles,Crédito 30 días,5,False,,
TRX-2024-00028,2024-01-06,2024,1,6,Saturday,1,CLI-BAR-003,Istmo Brew Pub,B2B,Bar Top,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,13,42.0,0.0,42.0,18.0,234.0,546.0,312.0,57.14,VEN-002,María Gonzáles,Crédito 30 días,4,False,,
TRX-2024-00029,2024-01-07,2024,1,7,Sunday,1,CLI-H4-012,Hotel Dos Mares,B2B,Hotel 4 Estrellas,Colón,RCP-A5-375,Ron Caña Añejo 5 Años,Añejo,Core,Horeca Premium,18,18.0,0.0,18.0,8.0,144.0,324.0,180.0,55.56,VEN-003,Roberto Chen,Transferencia,4,False,,
TRX-2024-00030,2024-01-07,2024,1,7,Sunday,1,CLI-RG-010,Azafrán,B2B,Restaurante Gourmet,David,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,14,42.0,0.0,42.0,18.0,252.0,588.0,336.0,57.14,VEN-004,Ana Pérez,Tarjeta Crédito,3,False,,
TRX-2024-00031,2024-01-07,2024,1,7,Sunday,1,CLI-RG-009,Las Clementinas,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Ecommerce,3,18.0,0.0,18.0,7.5,22.5,54.0,31.5,58.33,VEN-002,María Gonzáles,Transferencia,3,False,,
TRX-2024-00032,2024-01-07,2024,1,7,Sunday,1,CLI-H4-008,Hotel Castilla,B2B,Hotel 4 Estrellas,David,RCP-A5-750,Ron Caña Añejo 5 Años,Añejo,Core,Horeca Premium,31,32.0,0.0,32.0,14.0,434.0,992.0,558.0,56.25,VEN-004,Ana Pérez,Transferencia,1,False,,
TRX-2024-00033,2024-01-07,2024,1,7,Sunday,1,CLI-CONV-002,Delta Costa del Este,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,7,18.0,0.0,18.0,7.5,52.5,126.0,73.5,58.33,VEN-001,Carlos Mendoza,Crédito 30 días,3,False,,
TRX-2024-00034,2024-01-08,2024,1,8,Monday,2,CLI-FINAL-011,Fernando Ortiz,B2C,Consumidor Final,David,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Duty Free,3,180.0,0.0,180.0,75.0,225.0,540.0,315.0,58.33,VEN-004,Ana Pérez,Tarjeta Crédito,3,False,,
TRX-2024-00035,2024-01-08,2024,1,8,Monday,2,CLI-RG-009,Las Clementinas,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,9,42.0,13.24,36.44,18.0,162.0,327.95,165.95,50.6,VEN-001,Carlos Mendoza,Crédito 30 días,5,False,,
TRX-2024-00036,2024-01-08,2024,1,8,Monday,2,CLI-LIC-001,La Europea Premium,B2B,Licorería Especializada,Ciudad de Panamá,RCP-A5-750,Ron Caña Añejo 5 Años,Añejo,Core,Retail Moderno,34,32.0,0.0,32.0,14.0,476.0,1088.0,612.0,56.25,VEN-002,María Gonzáles,Transferencia,3,False,,
TRX-2024-00037,2024-01-08,2024,1,8,Monday,2,CLI-CONV-004,Delta David,B2B,Tienda Conveniencia,David,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,11,42.0,0.0,42.0,18.0,198.0,462.0,264.0,57.14,VEN-004,Ana Pérez,Crédito 30 días,4,False,,
TRX-2024-00038,2024-01-09,2024,1,9,Tuesday,2,CLI-LIC-009,Licorería Central Colón,B2B,Licorería Especializada,Colón,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,25,42.0,0.0,42.0,18.0,450.0,1050.0,600.0,57.14,VEN-003,Roberto Chen,Transferencia,1,False,,
TRX-2024-00039,2024-01-09,2024,1,9,Tuesday,2,CLI-LIC-011,Vinos y Licores Chitré,B2B,Licorería Especializada,Chitré,RCP-A5-750,Ron Caña Añejo 5 Años,Añejo,Core,Retail Moderno,24,32.0,0.0,32.0,14.0,336.0,768.0,432.0,56.25,VEN-001,Carlos Mendoza,Tarjeta Crédito,1,False,,
TRX-2024-00040,2024-01-09,2024,1,9,Tuesday,2,CLI-BAR-004,Unplugged,B2B,Bar Top,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Ecommerce,3,180.0,0.0,180.0,75.0,225.0,540.0,315.0,58.33,VEN-001,Carlos Mendoza,Transferencia,1,False,,
TRX-2024-00041,2024-01-09,2024,1,9,Tuesday,2,CLI-RG-009,Las Clementinas,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Horeca Premium,24,68.0,0.0,68.0,28.0,672.0,1632.0,960.0,58.82,VEN-002,María Gonzáles,Transferencia,4,False,,
TRX-2024-00042,2024-01-09,2024,1,9,Tuesday,2,CLI-SUP-003,Riba Smith Paitilla,B2B,Supermercado,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Supermercados,35,18.0,15.39,15.23,7.5,262.5,533.06,270.56,50.76,VEN-001,Carlos Mendoza,Transferencia,2,False,,
TRX-2024-00043,2024-01-09,2024,1,9,Tuesday,2,CLI-FINAL-010,Valentina Díaz,B2C,Consumidor Final,Ciudad de Panamá,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Ecommerce,3,68.0,0.0,68.0,28.0,84.0,204.0,120.0,58.82,VEN-001,Carlos Mendoza,Transferencia,3,False,,
TRX-2024-00044,2024-01-09,2024,1,9,Tuesday,2,CLI-SUP-006,Super Centro Santiago,B2B,Supermercado,Santiago,RCP-SP-750,Ron Caña Spiced,Especialidad,Entry,Supermercados,119,22.0,5.0,20.9,9.0,1071.0,2487.1,1416.1,56.94,VEN-005,Luuis Castillo,Crédito 30 días,2,False,,
TRX-2024-00045,2024-01-10,2024,1,10,Wednesday,2,CLI-BAR-007,Zanzibar,B2B,Bar Top,Bocas del Toro,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,13,42.0,0.0,42.0,18.0,234.0,546.0,312.0,57.14,VEN-004,Ana Pérez,Transferencia,1,False,,
TRX-2024-00046,2024-01-10,2024,1,10,Wednesday,2,CLI-LIC-001,La Europea Premium,B2B,Licorería Especializada,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,35,18.0,0.0,18.0,7.5,262.5,630.0,367.5,58.33,VEN-001,Carlos Mendoza,Transferencia,1,False,,
TRX-2024-00047,2024-01-10,2024,1,10,Wednesday,2,CLI-LIC-008,Licores Premium David,B2B,Licorería Especializada,David,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,19,18.0,0.0,18.0,7.5,142.5,342.0,199.5,58.33,VEN-004,Ana Pérez,Tarjeta Crédito,4,False,,
TRX-2024-00048,2024-01-10,2024,1,10,Wednesday,2,CLI-FINAL-005,Roberto Chen,B2C,Consumidor Final,Ciudad de Panamá,RCP-GIFT-A8,Gift Set Añejo 8 Años + 2 Copas,Gift,Gift,Ecommerce,3,65.0,0.0,65.0,28.0,84.0,195.0,111.0,56.92,VEN-002,María Gonzáles,Tarjeta Crédito,5,False,,
TRX-2024-00049,2024-01-10,2024,1,10,Wednesday,2,CLI-SUP-005,El Machetazo Colón,B2B,Supermercado,Colón,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Supermercados,54,18.0,5.0,17.1,7.5,405.0,923.4,518.4,56.14,VEN-003,Roberto Chen,Transferencia,3,False,,
TRX-2024-00050,2024-01-10,2024,1,10,Wednesday,2,CLI-BAR-001,Pedro Mandinga Rum Bar,B2B,Bar Top,Ciudad de Panamá,RCP-GIFT-A8,Gift Set Añejo 8 Años + 2 Copas,Gift,Gift,Horeca Premium,22,65.0,0.0,65.0,28.0,616.0,1430.0,814.0,56.92,VEN-002,María Gonzáles,Tarjeta Crédito,2,False,,
TRX-2024-00051,2024-01-10,2024,1,10,Wednesday,2,CLI-H5-008,The Haven & Spa,B2B,Hotel 5 Estrellas,Coronado,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Horeca Premium,29,68.0,0.0,68.0,28.0,812.0,1972.0,1160.0,58.82,VEN-005,Luuis Castillo,Crédito 30 días,5,False,,
TRX-2024-00052,2024-01-10,2024,1,10,Wednesday,2,CLI-RG-007,Tantalo Kitchen,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-KIT-DEG,Kit Degustación Premium,Gift,Gift,Ecommerce,14,48.0,0.0,48.0,22.0,308.0,672.0,364.0,54.17,VEN-002,María Gonzáles,Crédito 30 días,3,False,,
TRX-2024-00053,2024-01-11,2024,1,11,Thursday,2,CLI-FINAL-001,Juan Pérez,B2C,Consumidor Final,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Duty Free,1,180.0,0.0,180.0,75.0,75.0,180.0,105.0,58.33,VEN-002,María Gonzáles,Tarjeta Crédito,3,False,,
TRX-2024-00054,2024-01-11,2024,1,11,Thursday,2,CLI-LIC-003,Licores y Vinos PTY,B2B,Licorería Especializada,Ciudad de Panamá,RCP-A5-750,Ron Caña Añejo 5 Años,Añejo,Core,Retail Moderno,21,32.0,0.0,32.0,14.0,294.0,672.0,378.0,56.25,VEN-001,Carlos Mendoza,Tarjeta Crédito,4,False,,
TRX-2024-00055,2024-01-11,2024,1,11,Thursday,2,CLI-LIC-008,Licores Premium David,B2B,Licorería Especializada,David,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,40,18.0,6.06,16.91,7.5,300.0,676.33,376.33,55.64,VEN-004,Ana Pérez,Transferencia,1,False,,
TRX-2024-00056,2024-01-11,2024,1,11,Thursday,2,CLI-CONV-002,Delta Costa del Este,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Retail Moderno,7,180.0,0.0,180.0,75.0,525.0,1260.0,735.0,58.33,VEN-002,María Gonzáles,Crédito 30 días,4,False,,
TRX-2024-00057,2024-01-11,2024,1,11,Thursday,2,CLI-LIC-004,Vinoteca 507,B2B,Licorería Especializada,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,33,18.0,0.0,18.0,7.5,247.5,594.0,346.5,58.33,VEN-001,Carlos Mendoza,Crédito 30 días,2,False,,
TRX-2024-00058,2024-01-11,2024,1,11,Thursday,2,CLI-RG-006,La Posta,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Ecommerce,4,42.0,0.0,42.0,18.0,72.0,168.0,96.0,57.14,VEN-001,Carlos Mendoza,Tarjeta Crédito,3,False,,
TRX-2024-00059,2024-01-11,2024,1,11,Thursday,2,CLI-FINAL-008,Sofía Vargas,B2C,Consumidor Final,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Duty Free,3,180.0,0.0,180.0,75.0,225.0,540.0,315.0,58.33,VEN-002,María Gonzáles,Tarjeta Crédito,2,False,,
TRX-2024-00060,2024-01-11,2024,1,11,Thursday,2,CLI-CONV-003,7-Eleven Albrook,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,15,18.0,0.0,18.0,7.5,112.5,270.0,157.5,58.33,VEN-001,Carlos Mendoza,Transferencia,5,False,,
TRX-2024-00061,2024-01-12,2024,1,12,Friday,2,CLI-CORP-004,ASSA Compañía de Seguros,B2B,Corporativo,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Corporativo,79,180.0,5.0,171.0,75.0,5925.0,13509.0,7584.0,56.14,VEN-001,Carlos Mendoza,Tarjeta Crédito,1,False,,
TRX-2024-00062,2024-01-12,2024,1,12,Friday,2,CLI-RG-014,Restaurante Los Camisones,B2B,Restaurante Gourmet,Santiago,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,24,42.0,0.0,42.0,18.0,432.0,1008.0,576.0,57.14,VEN-005,Luuis Castillo,Crédito 30 días,1,False,,
TRX-2024-00063,2024-01-12,2024,1,12,Friday,2,CLI-LIC-011,Vinos y Licores Chitré,B2B,Licorería Especializada,Chitré,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,23,42.0,0.0,42.0,18.0,414.0,966.0,552.0,57.14,VEN-001,Carlos Mendoza,Crédito 30 días,5,False,,
TRX-2024-00064,2024-01-12,2024,1,12,Friday,2,CLI-SUP-003,Riba Smith Paitilla,B2B,Supermercado,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Supermercados,38,18.0,0.0,18.0,7.5,285.0,684.0,399.0,58.33,VEN-001,Carlos Mendoza,Tarjeta Crédito,5,False,,
TRX-2024-00065,2024-01-12,2024,1,12,Friday,2,CLI-BAR-003,Istmo Brew Pub,B2B,Bar Top,Ciudad de Panamá,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Horeca Premium,16,68.0,0.0,68.0,28.0,448.0,1088.0,640.0,58.82,VEN-001,Carlos Mendoza,Transferencia,1,False,,
TRX-2024-00066,2024-01-12,2024,1,12,Friday,2,CLI-RG-005,Fonda Lo Que Hay,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Ecommerce,24,180.0,8.02,165.56,75.0,1800.0,3973.38,2173.38,54.7,VEN-001,Carlos Mendoza,Transferencia,1,False,,
TRX-2024-00067,2024-01-12,2024,1,12,Friday,2,CLI-H4-012,Hotel Dos Mares,B2B,Hotel 4 Estrellas,Colón,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Horeca Premium,27,68.0,0.0,68.0,28.0,756.0,1836.0,1080.0,58.82,VEN-003,Roberto Chen,Transferencia,3,False,,
TRX-2024-00068,2024-01-12,2024,1,12,Friday,2,CLI-BAR-007,Zanzibar,B2B,Bar Top,Bocas del Toro,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,22,42.0,6.55,39.25,18.0,396.0,863.51,467.51,54.14,VEN-004,Ana Pérez,Tarjeta Crédito,5,False,,
TRX-2024-00069,2024-01-12,2024,1,12,Friday,2,CLI-FINAL-012,Camila Torres,B2C,Consumidor Final,David,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Duty Free,3,180.0,0.0,180.0,75.0,225.0,540.0,315.0,58.33,VEN-004,Ana Pérez,Tarjeta Crédito,5,False,,
TRX-2024-00070,2024-01-12,2024,1,12,Friday,2,CLI-RG-002,Maito,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Horeca Premium,22,68.0,0.0,68.0,28.0,616.0,1496.0,880.0,58.82,VEN-001,Carlos Mendoza,Tarjeta Crédito,3,False,,
TRX-2024-00071,2024-01-12,2024,1,12,Friday,2,CLI-FINAL-002,María González,B2C,Consumidor Final,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Duty Free,2,180.0,5.6,169.92,75.0,150.0,339.84,189.84,55.86,VEN-001,Carlos Mendoza,Transferencia,1,False,,
TRX-2024-00072,2024-01-12,2024,1,12,Friday,2,CLI-FINAL-015,Gabriel Flores,B2C,Consumidor Final,Colón,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Duty Free,3,180.0,0.0,180.0,75.0,225.0,540.0,315.0,58.33,VEN-003,Roberto Chen,Tarjeta Crédito,3,False,,
TRX-2024-00073,2024-01-13,2024,1,13,Saturday,2,CLI-RG-004,Intimo,B2B,Restaurante Gourmet,Ciudad de Panamá,RCP-EA12-750,Ron Caña Extra Añejo 12 Años,Extra Añejo,Premium,Horeca Premium,11,68.0,5.12,64.52,28.0,308.0,709.7,401.7,56.6,VEN-001,Carlos Mendoza,Tarjeta Crédito,2,False,,
TRX-2024-00074,2024-01-13,2024,1,13,Saturday,2,CLI-SUP-006,Super Centro Santiago,B2B,Supermercado,Santiago,RCP-CASKP-750,Ron Caña Cask Finish Oporto,Ultra Premium,Ultra Premium,Supermercados,59,155.0,20.45,123.3,65.0,3835.0,7274.59,3439.59,47.28,VEN-005,Luuis Castillo,Transferencia,4,False,,
TRX-2024-00075,2024-01-13,2024,1,13,Saturday,2,CLI-LIC-005,Licorería Premium Costa del Este,B2B,Licorería Especializada,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,20,42.0,0.0,42.0,18.0,360.0,840.0,480.0,57.14,VEN-001,Carlos Mendoza,Tarjeta Crédito,5,False,,
